Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Mirpur, Dhaka",1745,BDT 44 Thousand Per Month,44000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1745-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-b3/
"Mirpur, Dhaka",1745,BDT 49 Thousand Per Month,49000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1745-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-a5/
"Mirpur, Dhaka",1745,BDT 44 Thousand Per Month,44000.0,3,3,4,Rent,Flat,https://brokeragebd.com/property/1745-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-b5/
"Bashundhara, Dhaka",1730,BDT 1.85 Crore,18500000.0,3,5,4,Sell,Flat,https://brokeragebd.com/property/1730-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-2/
"Mirpur, Dhaka",1713,BDT 44 Thousand Per Month,44000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1713-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur/
"Mirpur, Dhaka",1711,BDT 2.12 Crore,21200000.0,3,4,6,Sell,Flat,https://brokeragebd.com/property/1711-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-c6/
"Mohammadpur, Dhaka",1705,BDT 1.85 Crore,18500000.0,3,3,7,Sell,Flat,https://brokeragebd.com/property/1705-sft-3-bedroom-flat-is-ready-for-sale-in-mohammadpur/
"Mohammadpur, Dhaka",1705,BDT 47 Thousand Per Month,47000.0,3,3,7,Rent,Flat,https://brokeragebd.com/property/1705-sft-3-bedroom-flat-is-ready-for-rent-in-mohammadpur/
"Mirpur, Dhaka",1687,BDT 55 Thousand Per Month,55000.0,3,3,2,Rent,Flat,https://brokeragebd.com/property/1687-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur/
"Aftabnagar, Dhaka",1676,BDT 2.34 Crore,23400000.0,3,3,4,Sell,Flat,https://brokeragebd.com/property/1676-sft-3-bedroom-flat-is-ready-for-sale-in-aftabnagar/
"Mirpur, Dhaka",1670,BDT 1.99 Crore,19900000.0,3,4,3,Sell,Flat,https://brokeragebd.com/property/1670-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-f3/
"Mirpur, Dhaka",1665,BDT 1.68 Crore,16800000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1665-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,3,Rent,Flat,https://brokeragebd.com/property/1631-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-2/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1631-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1631-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-3/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,7,Rent,Flat,https://brokeragebd.com/property/1631-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-4/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,9,Rent,Flat,https://brokeragebd.com/property/1925-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-2-2/
"Mirpur, Dhaka",1631,BDT 44 Thousand Per Month,44000.0,3,3,13,Rent,Flat,https://brokeragebd.com/property/1631-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-5/
"Uttara, Dhaka",9583,BDT 1.59 Crore,15900000.0,3,2,4,Sell,Flat,https://brokeragebd.com/property/1617-sft-3-bedroom-flat-is-ready-for-sale-in-uttara/
"Badda, Dhaka",1600,BDT 1 Crore,10000000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1600-sft-3-bedroom-flat-is-ready-for-sale-in-badda/
"Mirpur, Dhaka",1577,BDT 2.02 Crore,20200000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1577-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-h9/
"Bashundhara, Dhaka",1575,BDT 1.32 Crore,13200000.0,3,5,1,Sell,Flat,https://brokeragebd.com/property/1575-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Bashundhara, Dhaka",1575,BDT 1.32 Crore,13200000.0,3,5,4,Sell,Flat,https://brokeragebd.com/property/1575-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a4/
